file_id,has_true_timestamp_labels,timestamp_columns_found,timestamp_label_source,usable_for_supervised_segment_training,reason,valid_timestamp_region_count,fabricated_segment_count,outside_segment_count
phase7c1_collection_manifest_000001_ai_001_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,6,27
phase7c1_collection_manifest_000005_human_001_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,20
phase7c1_collection_manifest_000009_ai_002_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,19
phase7c1_collection_manifest_000013_human_002_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,16
phase7c1_collection_manifest_000017_ai_003_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,23
phase7c1_collection_manifest_000021_human_003_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,18
phase7c1_collection_manifest_000025_ai_004_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,24
phase7c1_collection_manifest_000029_human_004_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,18
phase7c1_collection_manifest_000033_ai_005_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,26
phase7c1_collection_manifest_000037_human_005_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,21
phase7c1_collection_manifest_000041_ai_006_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,25
phase7c1_collection_manifest_000045_human_006_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,3,19
phase7c1_collection_manifest_000049_ai_007_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,23
phase7c1_collection_manifest_000053_human_007_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,15
phase7c1_collection_manifest_000057_ai_008_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,16
