file_path,file_name,normalized_file_name,file_stem,file_hash_prefix,overlap_status
data/phase7c1/raw/ai_direct/ai_001_direct.wav,ai_001_direct.wav,ai_001_direct.wav,ai_001_direct,966d33a1b4610110,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_002_direct.wav,ai_002_direct.wav,ai_002_direct.wav,ai_002_direct,25b2eeccb05f6909,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_003_direct.wav,ai_003_direct.wav,ai_003_direct.wav,ai_003_direct,abb71cfdead3e2a3,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_004_direct.wav,ai_004_direct.wav,ai_004_direct.wav,ai_004_direct,17ebf03862f74703,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_005_direct.wav,ai_005_direct.wav,ai_005_direct.wav,ai_005_direct,e6a3e9bc45c6275c,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_006_direct.wav,ai_006_direct.wav,ai_006_direct.wav,ai_006_direct,6e71de22ff81a00b,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_007_direct.wav,ai_007_direct.wav,ai_007_direct.wav,ai_007_direct,e3312b2ab51ed232,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_008_direct.wav,ai_008_direct.wav,ai_008_direct.wav,ai_008_direct,7d9fddb22eb5dbb2,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_009_direct.wav,ai_009_direct.wav,ai_009_direct.wav,ai_009_direct,8acf8d18270d45f7,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_010_direct.wav,ai_010_direct.wav,ai_010_direct.wav,ai_010_direct,37d54afb7bc70f94,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_011_direct.wav,ai_011_direct.wav,ai_011_direct.wav,ai_011_direct,b6e4513ee81cb0b5,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_012_direct.wav,ai_012_direct.wav,ai_012_direct.wav,ai_012_direct,b7f1f81dd70aee76,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_013_direct.wav,ai_013_direct.wav,ai_013_direct.wav,ai_013_direct,6a9ff8ad23280f56,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_014_direct.wav,ai_014_direct.wav,ai_014_direct.wav,ai_014_direct,da9f3320983b726e,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_015_direct.wav,ai_015_direct.wav,ai_015_direct.wav,ai_015_direct,df76405929c19de1,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_016_direct.wav,ai_016_direct.wav,ai_016_direct.wav,ai_016_direct,45f04313308525fd,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_017_direct.wav,ai_017_direct.wav,ai_017_direct.wav,ai_017_direct,576ddc07f275e110,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_018_direct.wav,ai_018_direct.wav,ai_018_direct.wav,ai_018_direct,b00be92494db60fb,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_019_direct.wav,ai_019_direct.wav,ai_019_direct.wav,ai_019_direct,6558d274e664f2ff,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_020_direct.wav,ai_020_direct.wav,ai_020_direct.wav,ai_020_direct,21a7535f72fbb26d,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_021_direct.wav,ai_021_direct.wav,ai_021_direct.wav,ai_021_direct,d7777f9b128adcb4,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_022_direct.wav,ai_022_direct.wav,ai_022_direct.wav,ai_022_direct,3f6790f73b068865,seen_in_p5_training
data/phase7c1/raw/ai_direct/ai_023_direct.wav,ai_023_direct.wav,ai_023_direct.wav,ai_023_direct,099ac6572052050a,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,ai_001_fabricated.wav,ai_001_fabricated.wav,ai_001_fabricated,516b11692c04fd5e,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,ai_002_fabricated.wav,ai_002_fabricated.wav,ai_002_fabricated,55d0e608ab9b1510,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,ai_003_fabricated.wav,ai_003_fabricated.wav,ai_003_fabricated,6077101bd185b265,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,ai_004_fabricated.wav,ai_004_fabricated.wav,ai_004_fabricated,7e6bc435b39ca8d4,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,ai_005_fabricated.wav,ai_005_fabricated.wav,ai_005_fabricated,51ebe2c022d619b8,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,ai_006_fabricated.wav,ai_006_fabricated.wav,ai_006_fabricated,74f5c3577b835d18,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_007_fabricated.wav,ai_007_fabricated.wav,ai_007_fabricated.wav,ai_007_fabricated,c92514e6602e5f0a,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_008_fabricated.wav,ai_008_fabricated.wav,ai_008_fabricated.wav,ai_008_fabricated,61b643c8218b5418,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_009_fabricated.wav,ai_009_fabricated.wav,ai_009_fabricated.wav,ai_009_fabricated,744d6868fa3a304a,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_010_fabricated.wav,ai_010_fabricated.wav,ai_010_fabricated.wav,ai_010_fabricated,2620ca5aed7ec6d5,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_011_fabricated.wav,ai_011_fabricated.wav,ai_011_fabricated.wav,ai_011_fabricated,106323c172b594d6,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_012_fabricated.wav,ai_012_fabricated.wav,ai_012_fabricated.wav,ai_012_fabricated,2d57e27d8d38965c,seen_in_p5_training
data/phase7c1/raw/ai_fabricated/ai_013_fabricated.wav,ai_013_fabricated.wav,ai_013_fabricated.wav,ai_013_fabricated,1360181232720910,seen_in_p5_training
