file_path,file_name,category,expected_partial_label,expected_condition,timestamp_start,timestamp_end,has_timestamp_label,source_split_status
data/phase7c1/raw/ai_direct/ai_001_direct.wav,ai_001_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_002_direct.wav,ai_002_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_003_direct.wav,ai_003_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_004_direct.wav,ai_004_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_005_direct.wav,ai_005_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_006_direct.wav,ai_006_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_007_direct.wav,ai_007_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_008_direct.wav,ai_008_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_009_direct.wav,ai_009_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_010_direct.wav,ai_010_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_011_direct.wav,ai_011_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_012_direct.wav,ai_012_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_013_direct.wav,ai_013_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_014_direct.wav,ai_014_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_015_direct.wav,ai_015_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_016_direct.wav,ai_016_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_017_direct.wav,ai_017_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_018_direct.wav,ai_018_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
data/phase7c1/raw/ai_direct/ai_019_direct.wav,ai_019_direct.wav,ai_direct,0,direct,,,False,unknown_overlap_status
