file_path,file_name,normalized_file_name,file_stem,file_hash_prefix,overlap_status,is_new_fabricated_20pct
testing_audios/fabricated/fabricated.mp3,fabricated.mp3,fabricated.mp3,fabricated,412c482a19cac5f6,seen_in_previous_p5d,False
testing_audios/T1/T1.1.mp3,T1.1.mp3,t1.1.mp3,t1.1,362569ca138926fe,seen_in_previous_p5d,False
testing_audios/T1/T1.2.mp3,T1.2.mp3,t1.2.mp3,t1.2,f03c05d0d82e5581,seen_in_previous_p5d,False
testing_audios/T1/T1.3.mp3,T1.3.mp3,t1.3.mp3,t1.3,70c1377d1d3641d7,seen_in_previous_p5d,False
testing_audios/T1/T1.4.mp3,T1.4.mp3,t1.4.mp3,t1.4,3b41ca7a9df49b61,seen_in_previous_p5d,False
testing_audios/T1/T1.5.wav,T1.5.wav,t1.5.wav,t1.5,ed012f96e88973cd,seen_in_previous_p5d,False
testing_audios/T2/T2.1.mp3,T2.1.mp3,t2.1.mp3,t2.1,8d780252c5ee2658,seen_in_previous_p5d,False
testing_audios/T2/T2.2.mp3,T2.2.mp3,t2.2.mp3,t2.2,6e779cf0d494b21d,seen_in_previous_p5d,False
testing_audios/T2/T2.3.mp3,T2.3.mp3,t2.3.mp3,t2.3,b81eda95d4dd097d,seen_in_previous_p5d,False
testing_audios/T2/T2.4.mp4,T2.4.mp4,t2.4.mp4,t2.4,256eaa7d85c57d4a,seen_in_previous_p5d,False
testing_audios/T2/T2.5.mp3,T2.5.mp3,t2.5.mp3,t2.5,cd4d49a8514afca8,seen_in_previous_p5d,False
testing_audios/T3/T3.1.mp3,T3.1.mp3,t3.1.mp3,t3.1,70c1377d1d3641d7,seen_in_previous_p5d,False
testing_audios/T3/T3.2.mp3,T3.2.mp3,t3.2.mp3,t3.2,2241d8e77868be9d,seen_in_previous_p5d,False
testing_audios/T3/T3.3.mp4,T3.3.mp4,t3.3.mp4,t3.3,f16a862797c36da8,seen_in_previous_p5d,False
