case_type,file_path,file_name,segment_rank,segment_index_chronological,segment_start,segment_end,segment_probability,is_high_segment,has_timestamp_label,timestamp_start,timestamp_end,overlaps_known_fabricated_timestamp,expected_segment_label,segment_relation_to_timestamp,segment_manual_review_note
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,1,6,12.0,16.0,0.6080105776660463,False,True,6.635646,14.483991,True,1,overlaps_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,2,14,28.0,32.0,0.3926095965189168,False,True,6.635646,14.483991,False,0,outside_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,3,9,18.0,22.0,0.2518952987765767,False,True,6.635646,14.483991,False,0,outside_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,4,0,0.0,4.0,0.2280094724313917,False,True,6.635646,14.483991,False,0,outside_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,5,5,10.0,14.0,0.208888239779907,False,True,6.635646,14.483991,True,1,overlaps_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,6,3,6.0,10.0,0.1219736136224721,False,True,6.635646,14.483991,True,1,overlaps_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,7,4,8.0,12.0,0.0534746106120605,False,True,6.635646,14.483991,True,1,overlaps_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,8,1,2.0,6.0,0.0314008778956482,False,True,6.635646,14.483991,False,0,outside_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,9,11,22.0,26.0,0.029211875356851,False,True,6.635646,14.483991,False,0,outside_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,10,7,14.0,18.0,0.0185695576846012,False,True,6.635646,14.483991,True,1,overlaps_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
fabricated_20pct_false_negative,testing_audios/fabricated_20pct/human_007_clean_partial_fake_20pct.wav,human_007_clean_partial_fake_20pct.wav,1,11,22.0,26.0,0.9990004270277798,True,True,22.079292,28.397979,True,1,overlaps_fabricated_timestamp,Top-ranked candidate segment for diagnostic review; experimental evidence indicator only.
