level,comparison_name,level_a,level_b,embedding_dim_name,group_a_count,group_b_count,group_a_mean,group_b_mean,group_a_median,group_b_median,abs_mean_difference,effect_size,missing_percent,direction,interpretation_note
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_434,23,23,0.022394756260125482,-0.02238019899991539,0.0224666967988014,-0.0218448899686336,0.04477495526004087,4.796534648330947,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_742,23,23,-0.019108686373447533,0.028774413442158128,-0.0205949656665325,0.0303879454731941,0.047883099815605665,4.692376114314712,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_690,23,23,-0.03401701257604615,0.029063735481189602,-0.0337070859968662,0.0287336017936468,0.06308074805723575,4.514135840082694,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_138,23,23,0.03455022171787588,-0.013117435757294491,0.0352272242307662,-0.013735756278038,0.04766765747517038,4.385308599362779,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_729,23,23,0.008544136796642626,-0.030680148457379392,0.0084075927734375,-0.0298554953187704,0.039224285254022016,4.140948758514412,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_110,23,23,-0.04009550380641993,0.0076039280532352845,-0.038073968142271,0.0096763279289007,0.047699431859655216,4.125218593503353,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_241,23,23,-0.04619085667249944,-0.004840663743063608,-0.0460822880268096,-0.0055826404131948,0.041350192929435835,3.969893791647681,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_560,23,23,-0.006754521463058722,0.03561312794361421,-0.0059850267134606,0.0354166962206363,0.04236764940667293,3.8866233569997255,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_424,23,23,0.04235999553423856,0.0008248504341083916,0.0394325666129589,-0.0001983426773222,0.04153514510013017,3.8424078513603477,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_481,23,23,0.006057914112360465,-0.042126386061958614,0.0055011715739965,-0.0408383347094059,0.04818430017431908,3.7834592451628817,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_346,23,23,-0.06255598042322238,-0.014416640953403738,-0.0612843967974185,-0.0155542287975549,0.048139339469818646,3.688658303575329,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_506,23,23,-0.011903353310038266,0.04208262924752801,-0.0136548168957233,0.0459067039191722,0.05398598255756627,3.650155481235436,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_085,23,23,0.04673118873134898,-0.0018323534370764303,0.0472686067223548,-0.0042334082536399,0.048563542168425414,3.4738454717939775,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_254,23,23,0.023017585409157274,-0.029028218401514917,0.0194656513631343,-0.030479047447443,0.05204580381067219,3.429726545936295,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_066,23,23,0.02834613752834819,-0.014028784391247518,0.0312491226941347,-0.0170638002455234,0.04237492191959571,3.3812706581147753,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
