file_id,known_origin_label,known_manipulation_labels,l2_norm,mean_abs_value,max_abs_value,finite_row,level,segment_id
phase7c1_collection_manifest_000000_ai_001_direct,ai_synthetic,clean,2.0025138341300233,0.03632236079756978,0.6425445079803467,True,file,
phase7c1_collection_manifest_000001_ai_001_fabricated,mixed,edited_spliced;partial_fabrication,2.0106344829406773,0.03624255252123968,0.6419296860694885,True,file,
phase7c1_collection_manifest_000002_ai_001_mixer_processed,ai_synthetic,mixer_channel_processed,2.29275436309101,0.038494565397182136,0.8306330442428589,True,file,
phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,ai_synthetic,replay_rerecorded,2.583249908968916,0.04569408728516084,1.0283246040344238,True,file,
phase7c1_collection_manifest_000004_human_001_clean,human,clean,2.2122730976726994,0.037692106933567615,0.7643481492996216,True,file,
phase7c1_collection_manifest_000005_human_001_fabricated,mixed,edited_spliced;partial_fabrication,2.1491593966570615,0.03651873427056884,0.6576266288757324,True,file,
phase7c1_collection_manifest_000006_human_001_mixer_processed,human,mixer_channel_processed,2.2424113583403744,0.040722977222783875,0.8266637325286865,True,file,
phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,human,replay_rerecorded,2.541493780747298,0.04880672848343199,0.8963214159011841,True,file,
phase7c1_collection_manifest_000008_ai_002_direct,ai_synthetic,clean,1.8743536761883803,0.03280646005944731,0.6096265316009521,True,file,
phase7c1_collection_manifest_000009_ai_002_fabricated,mixed,edited_spliced;partial_fabrication,1.8740619152387255,0.031874401266745636,0.5994667410850525,True,file,
phase7c1_collection_manifest_000010_ai_002_mixer_processed,ai_synthetic,mixer_channel_processed,2.0324921602139456,0.0342359965739547,0.6181172132492065,True,file,
phase7c1_collection_manifest_000011_ai_002_replay_laptop_mobile,ai_synthetic,replay_rerecorded,2.2636851978284924,0.042185057619614476,0.7052074074745178,True,file,
phase7c1_collection_manifest_000012_human_002_clean,human,clean,2.2256049302904355,0.03721775375593002,0.9301881790161132,True,file,
phase7c1_collection_manifest_000013_human_002_fabricated,mixed,edited_spliced;partial_fabrication,2.111924941764153,0.03532574316332433,0.7957130670547485,True,file,
phase7c1_collection_manifest_000014_human_002_mixer_processed,human,mixer_channel_processed,2.267180255074278,0.03938135234477613,1.0747063159942627,True,file,
phase7c1_collection_manifest_000015_human_002_replay_laptop_mobile,human,replay_rerecorded,2.3383839444975827,0.042520423464440515,0.9652957320213318,True,file,
phase7c1_collection_manifest_000016_ai_003_direct,ai_synthetic,clean,2.0452836443053948,0.03497410375063244,0.7217591404914856,True,file,
phase7c1_collection_manifest_000017_ai_003_fabricated,mixed,edited_spliced;partial_fabrication,2.027762941110322,0.03491460634458753,0.6226944327354431,True,file,
