embedding_dim_a,embedding_dim_b,correlation,abs_correlation
ssl_emb_673,ssl_emb_411,-0.9091182451284676,0.9091182451284676
ssl_emb_472,ssl_emb_209,-0.9072423674128732,0.9072423674128732
ssl_emb_411,ssl_emb_462,0.8999086024008507,0.8999086024008507
ssl_emb_369,ssl_emb_411,-0.8999008555668581,0.8999008555668581
ssl_emb_336,ssl_emb_209,0.8979766706946237,0.8979766706946237
ssl_emb_336,ssl_emb_370,-0.8972141929706448,0.8972141929706448
ssl_emb_369,ssl_emb_156,0.8931051545924497,0.8931051545924497
ssl_emb_280,ssl_emb_130,-0.8929031768917441,0.8929031768917441
ssl_emb_088,ssl_emb_255,0.885552578996297,0.885552578996297
ssl_emb_411,ssl_emb_294,-0.8770694539032234,0.8770694539032234
ssl_emb_212,ssl_emb_411,0.8715919662624197,0.8715919662624197
ssl_emb_336,ssl_emb_585,0.8700783028790487,0.8700783028790487
ssl_emb_334,ssl_emb_255,-0.8671132826877456,0.8671132826877456
ssl_emb_280,ssl_emb_255,0.8662333347078105,0.8662333347078105
ssl_emb_081,ssl_emb_411,0.8657773408829187,0.8657773408829187
ssl_emb_280,ssl_emb_161,-0.8649011025524986,0.8649011025524986
ssl_emb_211,ssl_emb_411,-0.8607892517480588,0.8607892517480588
ssl_emb_212,ssl_emb_038,-0.860678321014551,0.860678321014551
ssl_emb_673,ssl_emb_038,0.8605281826577142,0.8605281826577142
ssl_emb_576,ssl_emb_378,-0.8605214033107097,0.8605214033107097
ssl_emb_567,ssl_emb_275,0.8597441241343675,0.8597441241343675
ssl_emb_548,ssl_emb_336,0.8538692130217279,0.8538692130217279
ssl_emb_576,ssl_emb_255,-0.8529226414416672,0.8529226414416672
ssl_emb_472,ssl_emb_013,0.8524747198793341,0.8524747198793341
ssl_emb_585,ssl_emb_209,0.8514969762380414,0.8514969762380414
ssl_emb_081,ssl_emb_294,-0.8488990271161434,0.8488990271161434
ssl_emb_349,ssl_emb_280,-0.8475941288153834,0.8475941288153834
ssl_emb_349,ssl_emb_255,-0.8450284793583024,0.8450284793583024
ssl_emb_088,ssl_emb_411,0.8450085114995428,0.8450085114995428
ssl_emb_088,ssl_emb_280,0.8444202294744242,0.8444202294744242
ssl_emb_255,ssl_emb_161,-0.8437523361416154,0.8437523361416154
ssl_emb_472,ssl_emb_336,-0.8424724840777262,0.8424724840777262
ssl_emb_462,ssl_emb_294,-0.8423648399851832,0.8423648399851832
ssl_emb_088,ssl_emb_576,-0.8400715985078889,0.8400715985078889
ssl_emb_212,ssl_emb_081,0.8396111469745865,0.8396111469745865
ssl_emb_567,ssl_emb_619,-0.839566794025253,0.839566794025253
ssl_emb_255,ssl_emb_130,-0.8387511010821794,0.8387511010821794
ssl_emb_130,ssl_emb_161,0.8386073706601238,0.8386073706601238
ssl_emb_088,ssl_emb_472,0.8379239228336063,0.8379239228336063
ssl_emb_255,ssl_emb_378,0.8379182964052906,0.8379182964052906
ssl_emb_673,ssl_emb_212,-0.8378925261335478,0.8378925261335478
ssl_emb_088,ssl_emb_334,-0.8371461584404664,0.8371461584404664
ssl_emb_114,ssl_emb_081,0.8359279138335616,0.8359279138335616
ssl_emb_088,ssl_emb_161,-0.8358215018432517,0.8358215018432517
ssl_emb_411,ssl_emb_148,-0.8339097210663632,0.8339097210663632
ssl_emb_088,ssl_emb_130,-0.8331418058863705,0.8331418058863705
ssl_emb_370,ssl_emb_619,-0.8326192533102347,0.8326192533102347
ssl_emb_275,ssl_emb_378,0.8322961038439702,0.8322961038439702
ssl_emb_548,ssl_emb_209,0.8313860037466355,0.8313860037466355
ssl_emb_088,ssl_emb_349,-0.830475084450885,0.830475084450885
ssl_emb_576,ssl_emb_130,0.8303851652623392,0.8303851652623392
ssl_emb_370,ssl_emb_209,-0.8293650341164617,0.8293650341164617
ssl_emb_130,ssl_emb_275,-0.8288470379898257,0.8288470379898257
ssl_emb_088,ssl_emb_369,-0.827523215353063,0.827523215353063
ssl_emb_130,ssl_emb_619,0.8257204572191513,0.8257204572191513
ssl_emb_211,ssl_emb_369,0.8252608568680155,0.8252608568680155
ssl_emb_472,ssl_emb_294,-0.824921056562036,0.824921056562036
ssl_emb_336,ssl_emb_619,0.824088359350774,0.824088359350774
ssl_emb_585,ssl_emb_370,-0.8240009742214442,0.8240009742214442
ssl_emb_088,ssl_emb_462,0.822275577250514,0.822275577250514
ssl_emb_619,ssl_emb_275,-0.8218868247481861,0.8218868247481861
ssl_emb_369,ssl_emb_677,0.8216370501930141,0.8216370501930141
ssl_emb_472,ssl_emb_228,0.8212108130392931,0.8212108130392931
ssl_emb_548,ssl_emb_472,-0.821071058297142,0.821071058297142
ssl_emb_334,ssl_emb_472,-0.8202249640501615,0.8202249640501615
ssl_emb_156,ssl_emb_411,-0.8200029018983941,0.8200029018983941
ssl_emb_081,ssl_emb_038,-0.8192901491709468,0.8192901491709468
ssl_emb_472,ssl_emb_370,0.8186229031195911,0.8186229031195911
ssl_emb_081,ssl_emb_472,0.818440888272766,0.818440888272766
ssl_emb_369,ssl_emb_462,-0.8163645191865088,0.8163645191865088
ssl_emb_548,ssl_emb_370,-0.8155445059567475,0.8155445059567475
ssl_emb_088,ssl_emb_294,-0.814915818760124,0.814915818760124
ssl_emb_334,ssl_emb_081,-0.8148221737591512,0.8148221737591512
ssl_emb_369,ssl_emb_336,0.8146712227329742,0.8146712227329742
ssl_emb_013,ssl_emb_209,-0.8139372529242591,0.8139372529242591
ssl_emb_081,ssl_emb_228,0.8138476176096429,0.8138476176096429
ssl_emb_472,ssl_emb_156,-0.8136983044905016,0.8136983044905016
ssl_emb_576,ssl_emb_156,0.8120181395785085,0.8120181395785085
ssl_emb_349,ssl_emb_646,0.8120179965561204,0.8120179965561204
ssl_emb_255,ssl_emb_228,0.8110865453240548,0.8110865453240548
ssl_emb_369,ssl_emb_148,0.8106083513210647,0.8106083513210647
ssl_emb_212,ssl_emb_148,-0.8098846070798983,0.8098846070798983
ssl_emb_050,ssl_emb_228,-0.8098164084415018,0.8098164084415018
ssl_emb_334,ssl_emb_156,0.809443438830394,0.809443438830394
ssl_emb_472,ssl_emb_411,0.8072900017595456,0.8072900017595456
ssl_emb_349,ssl_emb_548,0.8070580904221866,0.8070580904221866
ssl_emb_211,ssl_emb_462,-0.8065632719731912,0.8065632719731912
ssl_emb_646,ssl_emb_156,0.8061807368290109,0.8061807368290109
ssl_emb_369,ssl_emb_209,0.8054847576584961,0.8054847576584961
ssl_emb_472,ssl_emb_255,0.8049774765418356,0.8049774765418356
ssl_emb_263,ssl_emb_038,-0.8049191011803855,0.8049191011803855
ssl_emb_334,ssl_emb_161,0.8048022017504163,0.8048022017504163
ssl_emb_212,ssl_emb_294,-0.8045531816244222,0.8045531816244222
ssl_emb_156,ssl_emb_209,0.8045448227495047,0.8045448227495047
ssl_emb_411,ssl_emb_038,-0.8041483028428154,0.8041483028428154
ssl_emb_334,ssl_emb_280,-0.8041035149786894,0.8041035149786894
ssl_emb_081,ssl_emb_156,-0.8031616645717073,0.8031616645717073
ssl_emb_673,ssl_emb_462,-0.8027594786144471,0.8027594786144471
ssl_emb_673,ssl_emb_294,0.8024050325457625,0.8024050325457625
ssl_emb_135,ssl_emb_038,-0.8013476801561085,0.8013476801561085
ssl_emb_673,ssl_emb_369,0.801203977308612,0.801203977308612
ssl_emb_576,ssl_emb_275,-0.8005161918567415,0.8005161918567415
ssl_emb_548,ssl_emb_156,0.8003693678117356,0.8003693678117356
ssl_emb_217,ssl_emb_263,-0.8002582912338428,0.8002582912338428
ssl_emb_411,ssl_emb_370,0.799600806915233,0.799600806915233
ssl_emb_103,ssl_emb_472,-0.7991682281366506,0.7991682281366506
ssl_emb_369,ssl_emb_294,0.7991165323412094,0.7991165323412094
ssl_emb_211,ssl_emb_187,0.7986793603037166,0.7986793603037166
ssl_emb_576,ssl_emb_369,0.7986256770586829,0.7986256770586829
ssl_emb_349,ssl_emb_130,0.7977687504381057,0.7977687504381057
ssl_emb_377,ssl_emb_411,-0.7976831238285926,0.7976831238285926
ssl_emb_349,ssl_emb_334,0.7956656277278605,0.7956656277278605
ssl_emb_472,ssl_emb_369,-0.7945530207705628,0.7945530207705628
ssl_emb_548,ssl_emb_369,0.7939376787780147,0.7939376787780147
ssl_emb_646,ssl_emb_576,0.7921490941980407,0.7921490941980407
ssl_emb_280,ssl_emb_619,-0.7905983024508363,0.7905983024508363
ssl_emb_576,ssl_emb_619,0.7900703131647068,0.7900703131647068
ssl_emb_369,ssl_emb_370,-0.7898601736577908,0.7898601736577908
ssl_emb_187,ssl_emb_166,0.7893578189947287,0.7893578189947287
ssl_emb_148,ssl_emb_294,0.7888393064167878,0.7888393064167878
ssl_emb_567,ssl_emb_130,-0.7883367095389714,0.7883367095389714
ssl_emb_081,ssl_emb_462,0.7880905532685427,0.7880905532685427
ssl_emb_156,ssl_emb_677,0.7879301494682005,0.7879301494682005
ssl_emb_336,ssl_emb_201,-0.7873281470719261,0.7873281470719261
ssl_emb_156,ssl_emb_255,-0.7872157505921812,0.7872157505921812
ssl_emb_364,ssl_emb_334,0.7868290375760804,0.7868290375760804
ssl_emb_567,ssl_emb_378,0.7861439325536997,0.7861439325536997
ssl_emb_211,ssl_emb_212,-0.7860016834722394,0.7860016834722394
ssl_emb_646,ssl_emb_369,0.7859836889133465,0.7859836889133465
