epoch,train_loss,val_loss,val_binary_eer,val_binary_auc,val_binary_accuracy,val_multiclass_accuracy,learning_rate,epoch_time
1,0.32608530868489793,2.435349178978389,0.2953847858820825,0.7756202050216064,0.819059921338783,0.14365311945708337,0.001,6557.730983972549
2,0.11162229810131337,1.5391812859022098,0.29213811606612305,0.7440928357859833,0.748286203941731,0.2501713796058269,0.001,4892.406215190887
3,0.07422527761139201,2.4678530614904086,0.26667262601530617,0.814270762548012,0.8326478149100257,0.3241216795201371,0.001,5167.636309623718
4,0.06053969377088954,1.8069699335357416,0.25246806592429527,0.8466052826471873,0.8673093401885176,0.2365038560411311,0.001,5115.169785737991
5,0.05000324734898799,2.4857437887281106,0.23259345953145644,0.8572441649380098,0.8600935708593609,0.18986658440657053,0.001,6719.851681947708
6,0.03557658248056182,3.1230413315250822,0.280806116901427,0.7590824132655968,0.7768637532133676,0.6437446443873179,0.0005,5090.924205303192
7,0.017679322390890397,4.306636282870465,0.2385622276131884,0.8451037892068123,0.8669665809768637,0.16919451585261355,0.0005,5287.214202642441
8,0.013882317113380225,2.047118068887896,0.23647228260081893,0.8563491547218481,0.6572407883461868,0.4109254498714653,0.0005,5078.9169409275055
9,0.015396785211056611,2.0816836972295754,0.25875788315654547,0.8406100824186103,0.6908740359897172,0.18997429305912597,0.0005,5134.663567781448
10,0.011086187527070678,3.1009496200616398,0.23014629633807035,0.8634706845207727,0.8425554612991953,0.3016760494588828,0.00025,6830.636410236359
11,0.004690257368714784,13.191241806111382,0.3224525626298572,0.7289234426250268,0.6637103684661525,0.5816195372750642,0.00025,5268.78612780571
12,0.005455925214149319,1.7041178442861722,0.21718195290952555,0.8656111128257814,0.7981576692373608,0.4292202227934876,0.00025,5101.79859495163
13,0.0047952998531971425,2.533079946050471,0.21929021894659745,0.8690287964617937,0.7830334190231363,0.29914310197086547,0.00025,5333.448593139648
14,0.004197614521004663,4.93162043388609,0.23899337356704187,0.8052282534853643,0.7748928877463582,0.49730077120822624,0.000125,5689.390908002853
15,0.0021229480508864274,2.682878153387415,0.22133357422283473,0.880297366837826,0.6578237063314568,0.3345415284954114,0.000125,7536.154799461365
16,0.001922792286730823,4.641795114656618,0.2101811426916999,0.8229159689951446,0.8215938303341902,0.5984147386461011,0.000125,5609.510681152344
17,0.002336830368934501,3.3863683709118106,0.20171365138792718,0.865018532402622,0.8634104541559554,0.5040702656383891,0.000125,5485.3813581466675
18,0.002298544304459956,3.285826231168239,0.20859980473302608,0.8850230570457003,0.5688517566409598,0.3227506426735218,6.25e-05,5513.1907732486725
19,0.002000867801039674,4.975530515320228,0.24730317405373115,0.8216355797477612,0.7171808054841474,0.5116966580976864,6.25e-05,5635.956421375275
20,0.0014379103772494137,21.202237234419584,0.3082744514322006,0.7489949319818034,0.6785108351970386,0.5913344129970952,6.25e-05,7391.3907697200775
