prediction_scope,sample_id,test_id,audio_path,ground_truth_origin,manipulation_type,language,target_is_mixer_channel,mixer_probability,mixer_prediction,feature_status
fit_train,human_016_mixer_processed,,data/phase7c1/raw/human_mixer/human_016_mixer_processed.wav,human,mixer_processed,unknown,1,0.42895488480651345,0.0,ok
fit_train,human_018_mixer_processed,,data/phase7c1/raw/human_mixer/human_018_mixer_processed.wav,human,mixer_processed,unknown,1,0.320129320625795,0.0,ok
fit_train,ai_001_direct__aug_codec_12k_light,,data/phase7c1/raw/ai_direct/ai_001_direct.wav,ai,clean_direct,unknown,0,0.7120547116997994,1.0,ok
fit_train,human_010_clean__aug_dynamic_compress_noise,,data/phase7c1/raw/human_clean/human_010_clean.wav,human,clean_direct,unknown,1,0.3634358627274597,0.0,ok
fit_train,ai_011_replay_laptop_mobile__aug_mixer_eq_mobile,,data/phase7c1/raw/ai_repeat/ai_011_replay_laptop_mobile.wav,ai,ai_replay,unknown,1,0.2651882817667334,0.0,ok
fit_train,ai_011_replay_laptop_mobile__aug_clip_boost,,data/phase7c1/raw/ai_repeat/ai_011_replay_laptop_mobile.wav,ai,ai_replay,unknown,1,0.48053198270197367,0.0,ok
fit_train,human_011_replay_laptop_mobile__aug_clip_boost,,data/phase7c1/raw/human_replay/human_011_replay_laptop_mobile.wav,human,human_replay,unknown,1,0.45238429513829637,0.0,ok
fit_train,human_013_clean__aug_low_mid_rebalance,,data/phase7c1/raw/human_clean/human_013_clean.wav,human,clean_direct,unknown,1,0.3782444122013725,0.0,ok
fit_train,ai_016_direct__aug_dynamic_compress_noise,,data/phase7c1/raw/ai_direct/ai_016_direct.wav,ai,clean_direct,unknown,1,0.4055850056334141,0.0,ok
fit_train,human_016_clean__aug_dynamic_compress_noise,,data/phase7c1/raw/human_clean/human_016_clean.wav,human,clean_direct,unknown,1,0.3838468173477339,0.0,ok
fit_train,ai_017_direct__aug_dynamic_compress_noise,,data/phase7c1/raw/ai_direct/ai_017_direct.wav,ai,clean_direct,unknown,1,0.33743156671511454,0.0,ok
fit_train,ai_017_direct__aug_mobile_11k,,data/phase7c1/raw/ai_direct/ai_017_direct.wav,ai,clean_direct,unknown,1,0.20655910357843987,0.0,ok
fit_train,ai_017_direct__aug_clip_boost,,data/phase7c1/raw/ai_direct/ai_017_direct.wav,ai,clean_direct,unknown,1,0.28025131135909914,0.0,ok
fit_train,ai_020_direct__aug_low_mid_rebalance,,data/phase7c1/raw/ai_direct/ai_020_direct.wav,ai,clean_direct,unknown,1,0.49277836538021047,0.0,ok
fit_train,ai_020_direct__aug_mobile_11k,,data/phase7c1/raw/ai_direct/ai_020_direct.wav,ai,clean_direct,unknown,1,0.20494110541168045,0.0,ok
fit_train,human_020_clean__aug_low_mid_rebalance,,data/phase7c1/raw/human_clean/human_020_clean.wav,human,clean_direct,unknown,1,0.11611622647056752,0.0,ok
fit_train,ai_023_direct__aug_dynamic_compress_noise,,data/phase7c1/raw/ai_direct/ai_023_direct.wav,ai,clean_direct,unknown,1,0.4509067756501057,0.0,ok
train_original,human_016_mixer_processed,,data/phase7c1/raw/human_mixer/human_016_mixer_processed.wav,human,mixer_processed,unknown,1,0.42895488480651345,0.0,ok
train_original,human_018_mixer_processed,,data/phase7c1/raw/human_mixer/human_018_mixer_processed.wav,human,mixer_processed,unknown,1,0.320129320625795,0.0,ok
dev,human_015_clean,,data/phase7c1/raw/human_clean/human_015_clean.wav,human,clean_direct,unknown,0,0.8351994997397523,1.0,ok
dev,human_022_mixer_processed,,data/phase7c1/raw/human_mixer/human_022_mixer_processed.wav,human,mixer_processed,unknown,1,0.20308840179368692,0.0,ok
dev,human_022_replay_laptop_mobile,,data/phase7c1/raw/human_replay/human_022_replay_laptop_mobile.wav,human,human_replay,unknown,0,0.9995259522501372,1.0,ok
test,human_009_mixer_processed,,data/phase7c1/raw/human_mixer/human_009_mixer_processed.wav,human,mixer_processed,unknown,1,0.3617177730198729,0.0,ok
test,human_014_mixer_processed,,data/phase7c1/raw/human_mixer/human_014_mixer_processed.wav,human,mixer_processed,unknown,1,0.3391855057100323,0.0,ok
test,human_021_mixer_processed,,data/phase7c1/raw/human_mixer/human_021_mixer_processed.wav,human,mixer_processed,unknown,1,0.011014800834325721,0.0,ok
test,human_021_replay_laptop_mobile,,data/phase7c1/raw/human_replay/human_021_replay_laptop_mobile.wav,human,human_replay,unknown,0,0.6685760582142561,1.0,ok
testing_audios,,T2.3,testing_audios/T2/T2.3.mp3,human,human_replay,urdu,0,0.7703278903252226,1.0,ok
testing_audios,,T3.4,testing_audios/T3/T3.4.mp3,ai,mixer_processed,english,1,0.002502909513483259,0.0,ok
testing_audios,,T4.1,testing_audios/T4/T4.1.mp3,human,clean_direct,english,0,0.9966917595798762,1.0,ok
testing_audios,,T4.5,testing_audios/T4/T4.5.mp3,ai,whatsapp_compressed,english,1,0.024671390159113772,0.0,ok
