threshold,total,positives,negatives,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,clean_false_positive_rate,positive_detected_rate,clean_negative_total,clean_false_mixer_count,clean_false_mixer_rate,mixer_total,mixer_detected_count,mixer_detected_rate,task_name,feature_set,clean_human_total,clean_human_false_ai_count,clean_human_false_ai_rate,clean_ai_total,clean_ai_detected_count,clean_ai_detected_rate,clean_false_replay_count,clean_false_replay_rate,replay_total,replay_detected_count,replay_detected_rate
0.1,92,46,46,39,7,0,46,0.9239130434782609,0.9239130434782609,0.8679245283018868,1.0,0.9292929292929293,0.8478260869565217,0.15217391304347827,0.0,0.15217391304347827,1.0,46.0,7.0,0.15217391304347827,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
0.15,92,46,46,41,5,0,46,0.9456521739130435,0.9456521739130435,0.9019607843137255,1.0,0.9484536082474226,0.8913043478260869,0.10869565217391304,0.0,0.10869565217391304,1.0,46.0,5.0,0.10869565217391304,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
0.2,92,46,46,41,5,0,46,0.9456521739130435,0.9456521739130435,0.9019607843137255,1.0,0.9484536082474226,0.8913043478260869,0.10869565217391304,0.0,0.10869565217391304,1.0,46.0,5.0,0.10869565217391304,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
0.25,92,46,46,42,4,0,46,0.9565217391304348,0.9565217391304348,0.92,1.0,0.9583333333333334,0.9130434782608695,0.08695652173913043,0.0,0.08695652173913043,1.0,46.0,4.0,0.08695652173913043,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
0.3,92,46,46,42,4,0,46,0.9565217391304348,0.9565217391304348,0.92,1.0,0.9583333333333334,0.9130434782608695,0.08695652173913043,0.0,0.08695652173913043,1.0,46.0,4.0,0.08695652173913043,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
0.35,92,46,46,44,2,0,46,0.9782608695652174,0.9782608695652174,0.9583333333333334,1.0,0.9787234042553191,0.9565217391304348,0.043478260869565216,0.0,0.043478260869565216,1.0,46.0,2.0,0.043478260869565216,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
0.4,92,46,46,44,2,0,46,0.9782608695652174,0.9782608695652174,0.9583333333333334,1.0,0.9787234042553191,0.9565217391304348,0.043478260869565216,0.0,0.043478260869565216,1.0,46.0,2.0,0.043478260869565216,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
0.45,92,46,46,44,2,0,46,0.9782608695652174,0.9782608695652174,0.9583333333333334,1.0,0.9787234042553191,0.9565217391304348,0.043478260869565216,0.0,0.043478260869565216,1.0,46.0,2.0,0.043478260869565216,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
0.5,92,46,46,45,1,0,46,0.9891304347826086,0.9891304347826086,0.9787234042553191,1.0,0.989247311827957,0.9782608695652174,0.021739130434782608,0.0,0.021739130434782608,1.0,46.0,1.0,0.021739130434782608,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
0.55,92,46,46,45,1,0,46,0.9891304347826086,0.9891304347826086,0.9787234042553191,1.0,0.989247311827957,0.9782608695652174,0.021739130434782608,0.0,0.021739130434782608,1.0,46.0,1.0,0.021739130434782608,46.0,46.0,1.0,mixer_file_model,acoustic,,,,,,,,,,,
