level,comparison_name,level_a,level_b,feature,group_a_count,group_b_count,group_a_mean,group_b_mean,group_a_median,group_b_median,abs_mean_difference,effect_size,missing_percent,direction,interpretation_note
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,mfcc_1_std,23,23,60.37737660869566,135.20004230434782,60.596231,136.54307,74.82266569565215,3.6523793295008256,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,mfcc_2_std,23,23,40.16138452173914,66.1027292173913,40.237862,64.865846,25.941344695652162,2.3766034431387713,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,mfcc_2_mean,23,23,108.76445017391305,73.73922491304346,111.69246,72.319247,35.02522526086959,2.3289550274685125,0.0,higher_in_group_a,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,spectral_centroid_std,23,23,790.4469060869563,1187.132108695652,750.57181,1181.413,396.6852026086957,2.253870693015004,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,zero_crossing_rate_std,23,23,0.08657075039130435,0.12969086086956522,0.084597352,0.1311539,0.043120110478260865,1.9206492613963229,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,spectral_centroid_mean,23,23,1517.9763652173915,1894.411639130435,1499.6372,1896.3357,376.4352739130436,1.8341125743636852,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,high_band_energy_ratio,23,23,0.013849414186956522,0.044122020043478254,0.010838165,0.04182829,0.03027260585652173,1.774988919053457,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,spectral_rolloff_std,23,23,1497.2196717391305,1888.9645130434783,1473.3044,1853.0653,391.7448413043478,1.7277293917902274,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,mfcc_10_std,23,23,10.385589034782608,12.948449304347827,10.52026,13.031669,2.5628602695652187,1.7058592360366076,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,zero_crossing_rate_mean,23,23,0.11177825830434783,0.14407974608695653,0.1068873,0.14534912,0.032301487782608704,1.697280715497716,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,noise_floor_proxy,23,23,0.013957074453478262,0.0023821273443478267,0.014273475,0.0011664538,0.011574947109130436,1.6912008380120587,0.0,higher_in_group_a,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,spectral_flatness_mean,23,23,0.017981183952173914,0.03361654230434783,0.017867916,0.030876452,0.015635358352173917,1.6852399990078348,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,spectral_flatness_std,23,23,0.03451310260869565,0.052321794173913035,0.036035571,0.054507139,0.01780869156521738,1.66382008446458,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,spectral_entropy_std,23,23,0.983380649130435,1.1785653086956522,0.94593889,1.1725968,0.19518465956521724,1.6218955466580156,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,mfcc_7_std,23,23,13.265885960869568,17.00676956521739,13.11989,17.333336,3.7408836043478217,1.606181249824841,0.0,higher_in_group_b,feature shows descriptive separation — possible candidate for later modeling; not a standalone detector
