file_gate_feature_set,segment_feature_set,file_gate_threshold,segment_threshold,contrast_threshold,broad_limit,partial_file_recall,non_partial_false_alarm_rate,direct_false_partial_rate,replay_false_partial_rate,mixer_false_partial_rate,top1_hit_rate_when_positive,top3_hit_rate_when_positive,top5_hit_rate_when_positive,broad_activation_rate_when_positive,gated_partial_file_count,recommended_threshold_pair,recommendation_reason,candidate_score
combined,combined,0.3,0.5,0.15,0.25,0.7391304347826086,0.18840579710144928,0.5434782608695652,0.021739130434782608,0.0,0.8529411764705882,0.9705882352941176,1.0,0.0,34,,,0.43949275362318846
combined,combined,0.3,0.5,0.15,0.35,0.9565217391304348,0.1956521739130435,0.5652173913043478,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.5108695652173914
combined,combined,0.3,0.5,0.15,0.45,0.9565217391304348,0.1956521739130435,0.5652173913043478,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.5108695652173914
combined,combined,0.3,0.5,0.25,0.25,0.7391304347826086,0.17391304347826086,0.5,0.021739130434782608,0.0,0.8529411764705882,0.9705882352941176,1.0,0.0,34,,,0.44891304347826083
combined,combined,0.3,0.5,0.25,0.35,0.9565217391304348,0.18115942028985507,0.5217391304347826,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.5202898550724637
combined,combined,0.3,0.5,0.25,0.45,0.9565217391304348,0.18115942028985507,0.5217391304347826,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.5202898550724637
combined,combined,0.3,0.5,0.35,0.25,0.717391304347826,0.13768115942028986,0.41304347826086957,0.0,0.0,0.8787878787878788,0.9696969696969697,1.0,0.0,33,,,0.46159420289855074
combined,combined,0.3,0.5,0.35,0.35,0.9347826086956522,0.14492753623188406,0.43478260869565216,0.0,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.5329710144927536
combined,combined,0.3,0.5,0.35,0.45,0.9347826086956522,0.14492753623188406,0.43478260869565216,0.0,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.5329710144927536
combined,combined,0.3,0.6,0.15,0.25,0.8260869565217391,0.18115942028985507,0.5217391304347826,0.021739130434782608,0.0,0.868421052631579,0.9736842105263158,1.0,0.0,38,,,0.4746376811594203
combined,combined,0.3,0.6,0.15,0.35,0.9565217391304348,0.18840579710144928,0.5434782608695652,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.5155797101449275
combined,combined,0.3,0.6,0.15,0.45,0.9565217391304348,0.18840579710144928,0.5434782608695652,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.5155797101449275
combined,combined,0.3,0.6,0.25,0.25,0.8260869565217391,0.16666666666666666,0.4782608695652174,0.021739130434782608,0.0,0.868421052631579,0.9736842105263158,1.0,0.0,38,,,0.48405797101449277
combined,combined,0.3,0.6,0.25,0.35,0.9565217391304348,0.17391304347826086,0.5,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.525
combined,combined,0.3,0.6,0.25,0.45,0.9565217391304348,0.17391304347826086,0.5,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.525
combined,combined,0.3,0.6,0.35,0.25,0.8043478260869565,0.13768115942028986,0.41304347826086957,0.0,0.0,0.8918918918918919,0.972972972972973,1.0,0.0,37,,,0.49202898550724644
combined,combined,0.3,0.6,0.35,0.35,0.9347826086956522,0.14492753623188406,0.43478260869565216,0.0,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.5329710144927536
combined,combined,0.3,0.6,0.35,0.45,0.9347826086956522,0.14492753623188406,0.43478260869565216,0.0,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.5329710144927536
combined,combined,0.3,0.7,0.15,0.25,0.8913043478260869,0.16666666666666666,0.4782608695652174,0.021739130434782608,0.0,0.8780487804878049,0.975609756097561,1.0,0.0,41,,,0.5068840579710144
combined,combined,0.3,0.7,0.15,0.35,0.9565217391304348,0.17391304347826086,0.5,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.525
combined,combined,0.3,0.7,0.15,0.45,0.9565217391304348,0.17391304347826086,0.5,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.525
combined,combined,0.3,0.7,0.25,0.25,0.8913043478260869,0.15942028985507245,0.45652173913043476,0.021739130434782608,0.0,0.8780487804878049,0.975609756097561,1.0,0.0,41,,,0.5115942028985507
combined,combined,0.3,0.7,0.25,0.35,0.9565217391304348,0.16666666666666666,0.4782608695652174,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.5297101449275362
combined,combined,0.3,0.7,0.25,0.45,0.9565217391304348,0.16666666666666666,0.4782608695652174,0.021739130434782608,0.0,0.8636363636363636,0.9772727272727273,1.0,0.0,44,,,0.5297101449275362
combined,combined,0.3,0.7,0.35,0.25,0.8695652173913043,0.13768115942028986,0.41304347826086957,0.0,0.0,0.9,0.975,1.0,0.0,40,,,0.514855072463768
combined,combined,0.3,0.7,0.35,0.35,0.9347826086956522,0.14492753623188406,0.43478260869565216,0.0,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.5329710144927536
combined,combined,0.3,0.7,0.35,0.45,0.9347826086956522,0.14492753623188406,0.43478260869565216,0.0,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.5329710144927536
combined,combined,0.3,0.8,0.15,0.25,0.8695652173913043,0.14492753623188406,0.41304347826086957,0.021739130434782608,0.0,0.9,0.975,1.0,0.0,40,,,0.5134057971014492
combined,combined,0.3,0.8,0.15,0.35,0.9347826086956522,0.14492753623188406,0.41304347826086957,0.021739130434782608,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.536231884057971
combined,combined,0.3,0.8,0.15,0.45,0.9347826086956522,0.14492753623188406,0.41304347826086957,0.021739130434782608,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.536231884057971
combined,combined,0.3,0.8,0.25,0.25,0.8695652173913043,0.13768115942028986,0.391304347826087,0.021739130434782608,0.0,0.9,0.975,1.0,0.0,40,,,0.5181159420289855
combined,combined,0.3,0.8,0.25,0.35,0.9347826086956522,0.13768115942028986,0.391304347826087,0.021739130434782608,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.5409420289855073
combined,combined,0.3,0.8,0.25,0.45,0.9347826086956522,0.13768115942028986,0.391304347826087,0.021739130434782608,0.0,0.8837209302325582,0.9767441860465116,1.0,0.0,43,,,0.5409420289855073
combined,combined,0.3,0.8,0.35,0.25,0.8478260869565217,0.13043478260869565,0.391304347826087,0.0,0.0,0.9230769230769231,0.9743589743589743,1.0,0.0,39,,,0.5119565217391304
combined,combined,0.3,0.8,0.35,0.35,0.9130434782608695,0.13043478260869565,0.391304347826087,0.0,0.0,0.9047619047619048,0.9761904761904762,1.0,0.0,42,,,0.5347826086956522
combined,combined,0.3,0.8,0.35,0.45,0.9130434782608695,0.13043478260869565,0.391304347826087,0.0,0.0,0.9047619047619048,0.9761904761904762,1.0,0.0,42,,,0.5347826086956522
combined,combined,0.3,0.85,0.15,0.25,0.8695652173913043,0.13043478260869565,0.3695652173913043,0.021739130434782608,0.0,0.875,0.975,1.0,0.0,40,,,0.5228260869565218
combined,combined,0.3,0.85,0.15,0.35,0.9130434782608695,0.13043478260869565,0.3695652173913043,0.021739130434782608,0.0,0.8809523809523809,0.9761904761904762,1.0,0.0,42,,,0.5380434782608696
combined,combined,0.3,0.85,0.15,0.45,0.9130434782608695,0.13043478260869565,0.3695652173913043,0.021739130434782608,0.0,0.8809523809523809,0.9761904761904762,1.0,0.0,42,,,0.5380434782608696
combined,combined,0.3,0.85,0.25,0.25,0.8695652173913043,0.12318840579710146,0.34782608695652173,0.021739130434782608,0.0,0.875,0.975,1.0,0.0,40,,,0.5275362318840578
combined,combined,0.3,0.85,0.25,0.35,0.9130434782608695,0.12318840579710146,0.34782608695652173,0.021739130434782608,0.0,0.8809523809523809,0.9761904761904762,1.0,0.0,42,,,0.5427536231884057
combined,combined,0.3,0.85,0.25,0.45,0.9130434782608695,0.12318840579710146,0.34782608695652173,0.021739130434782608,0.0,0.8809523809523809,0.9761904761904762,1.0,0.0,42,,,0.5427536231884057
