epoch,train_loss,val_loss,val_origin_accuracy,val_attack_accuracy,val_human_clean_acceptance,val_direct_ai_detection,val_replay_detection,val_partial_rows_count,learning_rate,backbone_frozen,amp
1,64.00417078045052,54.53707299913679,0.3390804597701149,0.2398190045248869,1.0,0.0,0.0,6,1e-05,True,False
2,59.919613865059866,52.7782632282802,0.3390804597701149,0.2398190045248869,1.0,0.0,0.0,6,1e-05,True,False
3,50.8276081891127,33.72930499163034,0.3390804597701149,0.2398190045248869,1.0,0.0,0.0,6,1e-05,False,False
4,33.17227581856956,15.876450108308095,0.3563218390804598,0.2669683257918552,1.0,0.02912621359223301,0.07142857142857142,6,1e-05,False,False
5,23.302790235465682,13.575759893599232,0.3793103448275862,0.28054298642533937,0.9811320754716981,0.06796116504854369,0.14285714285714285,6,1e-05,False,False
6,14.162459403696195,6.466366317256221,0.5057471264367817,0.37104072398190047,0.9433962264150944,0.30097087378640774,0.42857142857142855,6,1e-05,False,False
7,12.794722335439333,4.370324798992702,0.6379310344827587,0.4117647058823529,0.8867924528301887,0.5631067961165048,0.5535714285714286,6,1e-05,False,False
8,10.479931923705088,3.9527952649763654,0.6609195402298851,0.4298642533936652,0.8867924528301887,0.5922330097087378,0.5,6,1e-05,False,False
9,8.090512206856634,3.812331462545054,0.6551724137931034,0.4343891402714932,0.9056603773584906,0.5728155339805825,0.4642857142857143,6,1e-05,False,False
10,7.931339465396505,3.6335475391575267,0.7413793103448276,0.4298642533936652,0.8113207547169812,0.7669902912621359,0.7321428571428571,6,1e-05,False,False
11,8.011710156857127,3.510283177452428,0.7471264367816092,0.4298642533936652,0.7735849056603774,0.7961165048543689,0.7321428571428571,6,1e-05,False,False
12,6.215088463165391,3.0445205414933816,0.6379310344827587,0.4343891402714932,0.9433962264150944,0.5242718446601942,0.35714285714285715,6,1e-05,False,False
